flight_number,airline_code,origin_airport,destination_airport,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,delay_minutes,delay_reason,distance,weather_condition,day_of_week,month,is_delayed
VN2188,VN,MIA,SEA,2025-10-19 08:44:00,2025-10-19 08:47:00,2025-10-19 15:28:00,2025-10-19 15:34:00,3,,3261.8,Clear,6,10,0
B6682,B6,ATL,HAN,2025-05-01 10:14:00,2025-05-01 10:14:00,2025-05-02 13:33:00,2025-05-02 13:30:00,0,,13154.1,Clear,3,5,0
B65101,B6,SGN,LAX,2025-10-21 15:45:00,2025-10-21 15:48:00,2025-10-23 00:25:00,2025-10-23 00:24:00,3,,15610.9,Clear,1,10,0
VN4274,VN,SEA,DFW,2025-10-07 20:52:00,2025-10-07 20:52:00,2025-10-08 01:08:00,2025-10-08 01:04:00,0,,2011.9,Clear,1,10,0
AA1452,AA,ORD,LAX,2025-09-07 19:27:00,2025-09-07 19:29:00,2025-09-08 00:03:00,2025-09-08 00:02:00,2,,2176.3,Snow,6,9,0
VJ6026,VJ,JFK,BOS,2025-01-22 16:15:00,2025-01-22 17:10:00,2025-01-22 17:15:00,2025-01-22 18:12:00,55,Air Traffic Control,225.0,Snow,2,1,1
VJ5044,VJ,JFK,BOS,2025-08-16 20:12:00,2025-08-16 20:30:00,2025-08-16 21:12:00,2025-08-16 21:29:00,18,Weather,225.0,Rain,5,8,1
AA8546,AA,SEA,HAN,2025-08-15 20:17:00,2025-08-15 21:21:00,2025-08-17 05:23:00,2025-08-17 06:28:00,64,Late Aircraft,15843.7,Snow,4,8,1
VJ1950,VJ,JFK,SFO,2025-04-15 14:50:00,2025-04-15 14:50:00,2025-04-15 21:56:00,2025-04-15 21:51:00,0,,3359.9,Clear,1,4,0
AS3872,AS,SEA,DEN,2025-07-16 14:45:00,2025-07-16 14:49:00,2025-07-16 17:25:00,2025-07-16 17:33:00,4,,1324.8,Clear,2,7,0
F98186,F9,ATL,ORD,2025-03-21 21:25:00,2025-03-21 22:01:00,2025-03-21 22:36:00,2025-03-21 23:12:00,36,Air Traffic Control,623.1,Cloudy,4,3,1
AS1223,AS,SEA,DEN,2025-03-08 17:59:00,2025-03-08 18:02:00,2025-03-08 20:35:00,2025-03-08 20:41:00,3,,1324.8,Cloudy,5,3,0
AA4604,AA,MIA,HAN,2025-05-03 17:01:00,2025-05-03 17:01:00,2025-05-04 19:52:00,2025-05-04 19:49:00,0,,12844.4,Clear,5,5,0
DL4733,DL,LAX,SFO,2025-10-13 17:30:00,2025-10-13 17:52:00,2025-10-13 18:30:00,2025-10-13 18:54:00,22,Security,373.5,Fog,0,10,1
VJ2095,VJ,ORD,MIA,2025-04-01 15:40:00,2025-04-01 15:40:00,2025-04-01 18:04:00,2025-04-01 18:05:00,0,,1233.9,Fog,1,4,0
AA2067,AA,DAD,SFO,2025-10-18 21:15:00,2025-10-18 21:20:00,2025-10-20 06:33:00,2025-10-20 06:34:00,5,,15979.4,Rain,5,10,0
AA3650,AA,DEN,BOS,2025-06-07 09:19:00,2025-06-07 09:25:00,2025-06-07 14:10:00,2025-06-07 14:13:00,6,,2329.3,Clear,5,6,0
F92501,F9,HAN,SEA,2025-06-12 05:27:00,2025-06-12 05:29:00,2025-06-13 14:30:00,2025-06-13 14:37:00,2,,15843.7,Clear,3,6,0
DL163,DL,ATL,JFK,2025-12-18 13:30:00,2025-12-18 13:30:00,2025-12-18 15:13:00,2025-12-18 15:17:00,0,,879.4,Fog,3,12,0
VJ2688,VJ,ATL,DEN,2025-11-29 17:18:00,2025-11-29 17:18:00,2025-11-29 20:13:00,2025-11-29 20:15:00,0,,1461.3,Cloudy,5,11,0
F97559,F9,SEA,BOS,2025-05-11 14:56:00,2025-05-11 14:57:00,2025-05-11 22:26:00,2025-05-11 22:22:00,1,,3557.0,Cloudy,6,5,0
VJ1447,VJ,MIA,SEA,2025-08-11 16:50:00,2025-08-11 16:54:00,2025-08-11 23:44:00,2025-08-11 23:43:00,4,,3261.8,Clear,0,8,0
B69542,B6,HAN,LAX,2025-11-12 17:22:00,2025-11-12 18:12:00,2025-11-14 01:47:00,2025-11-14 02:42:00,50,Air Traffic Control,15495.7,Clear,2,11,1
AA7955,AA,DFW,BOS,2025-05-07 13:16:00,2025-05-07 13:21:00,2025-05-07 17:04:00,2025-05-07 17:07:00,5,,1911.2,Fog,2,5,0
UA3393,UA,DFW,BOS,2025-07-29 11:37:00,2025-07-29 11:37:00,2025-07-29 15:39:00,2025-07-29 15:35:00,0,,1911.2,Cloudy,1,7,0
UA8867,UA,SFO,ATL,2025-04-17 13:46:00,2025-04-17 13:46:00,2025-04-17 19:25:00,2025-04-17 19:26:00,0,,2633.0,Cloudy,3,4,0
UA4986,UA,ATL,MIA,2025-07-27 21:38:00,2025-07-27 21:59:00,2025-07-27 22:53:00,2025-07-27 23:09:00,21,National Aviation System,612.1,Rain,6,7,1
NK748,NK,JFK,BOS,2025-03-29 05:34:00,2025-03-29 05:34:00,2025-03-29 06:34:00,2025-03-29 06:30:00,0,,225.0,Clear,5,3,0
AA5848,AA,DFW,HAN,2025-02-12 16:12:00,2025-02-12 16:20:00,2025-02-13 21:23:00,2025-02-13 21:34:00,8,,14019.6,Rain,2,2,0
NK8360,NK,DFW,SEA,2025-09-07 23:30:00,2025-09-08 01:25:00,2025-09-08 03:40:00,2025-09-08 05:31:00,115,Late Aircraft,2011.9,Cloudy,6,9,1
AS5169,AS,MIA,DEN,2025-10-03 23:35:00,2025-10-04 00:53:00,2025-10-04 03:36:00,2025-10-04 04:50:00,78,Weather,1942.3,Rain,4,10,1
VJ7321,VJ,ATL,ORD,2025-10-25 08:50:00,2025-10-25 08:50:00,2025-10-25 09:57:00,2025-10-25 09:55:00,0,,623.1,Clear,5,10,0
DL3061,DL,JFK,LAX,2025-01-15 06:22:00,2025-01-15 06:26:00,2025-01-15 12:46:00,2025-01-15 12:47:00,4,,3114.0,Clear,2,1,0
B63225,B6,SGN,DFW,2025-09-02 07:12:00,2025-09-02 07:16:00,2025-09-03 12:38:00,2025-09-03 12:39:00,4,,14137.1,Clear,1,9,0
VJ6634,VJ,MIA,SFO,2025-03-25 14:29:00,2025-03-25 14:38:00,2025-03-25 20:40:00,2025-03-25 20:45:00,9,,3016.8,Clear,1,3,0
VN4860,VN,JFK,SFO,2025-06-05 16:50:00,2025-06-05 16:51:00,2025-06-05 23:57:00,2025-06-05 23:54:00,1,,3359.9,Fog,3,6,0
NK9772,NK,LAX,SFO,2025-01-26 10:46:00,2025-01-26 10:46:00,2025-01-26 11:46:00,2025-01-26 11:48:00,0,,373.5,Clear,6,1,0
UA2691,UA,LAX,JFK,2025-09-30 08:39:00,2025-09-30 08:39:00,2025-09-30 15:15:00,2025-09-30 15:14:00,0,,3114.0,Cloudy,1,9,0
WN1006,WN,ORD,BOS,2025-10-13 09:47:00,2025-10-13 09:48:00,2025-10-13 12:20:00,2025-10-13 12:23:00,1,,1166.3,Rain,0,10,0
DL1234,DL,DFW,JFK,2025-10-05 11:03:00,2025-10-05 11:24:00,2025-10-05 14:32:00,2025-10-05 14:54:00,21,Carrier Delay,1691.6,Rain,6,10,1
F99037,F9,ATL,DAD,2025-01-10 07:26:00,2025-01-10 07:26:00,2025-01-11 11:09:00,2025-01-11 11:06:00,0,,13346.6,Clear,4,1,0
VN5924,VN,SFO,MIA,2025-11-10 19:53:00,2025-11-10 19:54:00,2025-11-11 02:03:00,2025-11-11 02:06:00,1,,3016.8,Clear,0,11,0
DL6957,DL,ORD,MIA,2025-02-16 21:37:00,2025-02-17 00:31:00,2025-02-17 00:10:00,2025-02-17 03:06:00,174,Weather,1233.9,Rain,6,2,1
F98741,F9,SFO,BOS,2025-06-19 07:54:00,2025-06-19 07:55:00,2025-06-19 15:23:00,2025-06-19 15:23:00,1,,3559.6,Cloudy,3,6,0
AS7096,AS,SEA,ORD,2025-06-29 20:52:00,2025-06-29 20:53:00,2025-06-30 01:56:00,2025-06-30 01:59:00,1,,2403.6,Clear,6,6,0
F91235,F9,DFW,MIA,2025-09-08 23:12:00,2025-09-08 23:12:00,2025-09-09 01:57:00,2025-09-09 01:55:00,0,,1255.6,Clear,0,9,0
B64639,B6,ATL,LAX,2025-12-16 07:02:00,2025-12-16 07:05:00,2025-12-16 11:48:00,2025-12-16 11:55:00,3,,2344.7,Rain,1,12,0
WN4546,WN,DFW,SEA,2025-07-03 19:47:00,2025-07-03 20:08:00,2025-07-04 00:07:00,2025-07-04 00:27:00,21,National Aviation System,2011.9,Cloudy,3,7,1
AA456,AA,DAD,JFK,2025-08-22 20:26:00,2025-08-22 20:26:00,2025-08-23 22:51:00,2025-08-23 22:55:00,0,,12670.6,Clear,4,8,0
WN441,WN,BOS,ORD,2025-02-22 23:44:00,2025-02-22 23:44:00,2025-02-23 02:07:00,2025-02-23 02:06:00,0,,1166.3,Cloudy,5,2,0
AS3359,AS,MIA,BOS,2025-06-14 06:32:00,2025-06-14 06:33:00,2025-06-14 09:08:00,2025-06-14 09:13:00,1,,1310.3,Clear,5,6,0
WN4406,WN,SEA,DEN,2025-11-04 10:51:00,2025-11-04 12:23:00,2025-11-04 13:42:00,2025-11-04 15:09:00,92,Security,1324.8,Snow,1,11,1
WN688,WN,SFO,DFW,2025-09-18 13:57:00,2025-09-18 13:58:00,2025-09-18 17:43:00,2025-09-18 17:46:00,1,,1778.5,Rain,3,9,0
F92110,F9,LAX,SFO,2025-11-03 19:57:00,2025-11-03 20:17:00,2025-11-03 20:57:00,2025-11-03 21:13:00,20,Security,373.5,Snow,0,11,1
B69821,B6,MIA,HAN,2025-10-27 16:22:00,2025-10-27 16:22:00,2025-10-28 19:10:00,2025-10-28 19:11:00,0,,12844.4,Cloudy,0,10,0
F95978,F9,DEN,DAD,2025-01-31 13:15:00,2025-01-31 13:44:00,2025-02-01 20:06:00,2025-02-01 20:32:00,29,Security,14779.9,Snow,4,1,1
